96_oto_tray_barcode,96_oto_tray_position,48_DWP_tray_barcode,48_DWP_tray_position,box_number,oto_broken,oto_side,comment,Date,Initials
50999,33,28807,C6,,,LEFT,,4/22/2021,DB
50999,34,28807,C6,,,LEFT,,4/22/2021,DB
50999,35,28807,C6,,,LEFT,,4/22/2021,DB
50999,36,28807,D6,,,LEFT,,4/22/2021,DB
50999,37,28807,D6,,,LEFT,,4/22/2021,DB
50999,38,28807,E6,,,LEFT,,4/22/2021,DB
50999,39,28807,F6,,,LEFT,,4/22/2021,DB
50999,40,28807,G6,,,LEFT,,4/22/2021,DB
50999,41,28807,H6,,,LEFT,,4/22/2021,DB
50999,42,16132,B1,,,LEFT,,4/22/2021,DB
50999,43,16132,C1,,,LEFT,,4/22/2021,DB
50999,44,16132,F1,,,LEFT,,4/22/2021,DB
50999,45,16132,G1,,,LEFT,,4/22/2021,DB
50999,46,16132,H1,,,LEFT,,4/22/2021,DB
50999,47,16132,B2,,,LEFT,,4/22/2021,DB
50999,48,16132,C2,,,LEFT,,4/22/2021,DB
50999,49,28864,A1,,,LEFT,,4/22/2021,DB
50999,50,28864,B1,,,LEFT,,4/22/2021,DB
50999,51,28864,C1,,,LEFT,,4/22/2021,DB
50999,52,28864,D1,,,LEFT,,4/22/2021,DB
50999,53,28864,E1,,,LEFT,,4/22/2021,DB
50999,54,28864,G1,,,LEFT,,4/22/2021,DB
50999,55,28864,H1,,,LEFT,,4/22/2021,DB
50999,56,28864,A2,,,LEFT,,4/22/2021,DB
50999,57,28864,B2,,,LEFT,,4/22/2021,DB
50999,58,28864,B2,,,LEFT,,4/22/2021,DB
50999,59,28864,B2,,,LEFT,,4/22/2021,DB
