otolith_fish_id,heart_fish_id,otolith_miss_loci,heart_miss_loci,duplicate_rate,48_DWP_tray_barcode,diff,otolith_position,otolith_row,otolith_col,heart_position,heart_row,heart_col,heart_fish_id_self,heart_miss_loci_self,duplicate_rate_self,diff_self,match_type
PGOD21_2661,PGILMOUR15_618,213,0,0.9411764705882353,2125,0.4,G5,G,5,G5,G,5,PGILMOUR15_618,0,0.9411764705882353,0,self
PGOD21_2662,PGILMOUR15_619,61,0,0.9915611814345991,2125,0.4661374526210398,H5,H,5,H5,H,5,PGILMOUR15_619,0,0.9915611814345991,0,self
PGOD21_2829,PGILMOUR15_625,144,25,0.5586206896551724,2125,0.019659650694133446,G1,G,1,F6,F,6,NA,NA,NA,NA,not_self
PGOD21_2830,PGILMOUR15_587,66,1,0.6017316017316018,2125,0.04138677414539493,H1,H,1,H1,H,1,PGILMOUR15_587,1,0.6017316017316018,0,self
PGOD21_2831,PGILMOUR15_589,91,1,0.6135265700483091,2125,0.0018760846114159735,B2,B,2,B2,B,2,PGILMOUR15_589,1,0.6135265700483091,0,self
PGOD21_2832,PGILMOUR15_588,155,2,0.7062937062937062,2125,0.14011723570547097,C2,C,2,A2,A,2,NA,NA,NA,NA,not_self
PGOD21_2833,PGILMOUR15_591,170,1,0.7109375,2125,0.19061229674796742,D2,D,2,D2,D,2,PGILMOUR15_591,1,0.7109375,0,self
PGOD21_2834,PGILMOUR15_592,36,3,0.9045801526717557,2125,0.34732824427480913,E2,E,2,E2,E,2,PGILMOUR15_592,3,0.9045801526717557,0,self
PGOD21_2835,PGILMOUR15_593,156,1,0.8309859154929577,2125,0.27464788732394363,F2,F,2,F2,F,2,PGILMOUR15_593,1,0.8309859154929577,0,self
PGOD21_2837,PGILMOUR15_595,51,0,0.9878542510121457,2125,0.4412955465587044,H2,H,2,H2,H,2,PGILMOUR15_595,0,0.9878542510121457,0,self
PGOD21_2838,PGILMOUR15_602,89,0,0.5789473684210527,2125,0.014354066985646008,H2,H,2,G3,G,3,PGILMOUR15_595,0,0.4688995215311005,0.11004784688995217,not_self
PGOD21_2840,PGILMOUR15_600,174,1,0.7903225806451613,2125,0.24193548387096775,E3,E,3,E3,E,3,PGILMOUR15_600,1,0.7903225806451613,0,self
